symbol,code,name,current,percent,change,high,low,high52w,low52w,marketcapital,amount,pettm,volume
SZ000034,000034,神州数码,15.3,8.05,1.14,15.58,14.61,23.65,11.9,1.00072776402E10,2.9299468491E8,12.72,19090921
SH603885,603885,吉祥航空,12.98,7.63,0.92,13.26,12.14,18.17,11.58,2.332523493146E10,1.75031183E8,17.69,13628685
SH603499,603499,翔港科技,21.21,7.28,1.44,21.75,20.21,41.56,10.89,2.149005684E9,9.7322654E7,46.23,4526824
SZ000673,000673,当代东方,7.01,7.19,0.47,7.19,6.52,23.6,5.66,5.54876859842E9,6.8504114133E8,27.91,99106002
SZ300663,300663,科蓝软件,18.37,7.05,1.21,18.88,17.78,27.55,13.17,3.70089289009E9,3.8118968476E8,98.37,20570338
SZ002509,002509,天广中茂,2.74,7.03,0.18,2.82,2.54,10.54,2.3,6.82942998704E9,1.8399886332E8,11.17,68746052
SH600290,600290,华仪电气,4.3,6.97,0.28,4.38,3.99,13.93,3.66,3.2675850973E9,1.92094453E8,53.37,45806406
SH600132,600132,重庆啤酒,26.14,6.91,1.69,26.3,24.8,33.2,17.45,1.265100711572E10,8.3144582E7,33.51,3227722
SZ002911,002911,佛燃股份,21.38,6.9,1.38,21.71,19.86,38.56,16.43,1.188728E10,1.2347457402E8,30.36,6033812
SH603555,603555,贵人鸟,7.49,6.85,0.48,7.55,7.04,28.65,6.62,4.70823005107E9,8.9187067E7,76.2,12214780
SZ300688,300688,创业黑马,49.27,6.51,3.01,50.89,48.32,98.8,35.01,3.35036E9,3.0234942844E8,69.27,6013443
SZ002291,002291,星期六,6.05,6.51,0.37,6.25,5.6,11.12,4.42,2.41347746475E9,1.6008591015E8,,26930210
SZ300003,300003,乐普医疗,33.96,6.46,2.06,34.14,32.06,41.56,20.37,6.050493319716E10,6.3998498085E8,49.86,19187731
SH603066,603066,音飞储存,9.56,6.46,0.58,9.88,9.11,19.68,8.72,2.89038643212E9,5.8759907E7,29.7,6066720
SZ300450,300450,先导智能,23.11,6.4,1.39,23.87,21.75,43.63,21.64,2.037514270229E10,3.0426373177E8,29.73,13113685
SZ300090,300090,盛运环保,3.04,6.29,0.18,3.09,2.88,11.55,2.6,4.01265688288E9,2.585743281E8,,86106616
SZ300507,300507,苏奥传感,20.9,6.2,1.22,21.65,19.79,44.81,19.38,2.5546488E9,5.88054604E7,25.38,2765368
SZ000721,000721,西安饮食,4.5,6.13,0.26,4.6,4.2,8.08,3.48,2.2457516355E9,1.4594479638E8,,33040834
SZ002107,002107,沃华医药,7.7,6.06,0.44,7.99,7.2,14.35,7.2,2.7778212E9,2.206601806E7,47.03,2918068
SZ300337,300337,银邦股份,6.15,6.03,0.35,6.18,5.69,11.72,5.35,5.054808E9,5.190564382E7,,8708320
SH600311,600311,荣华实业,3.09,5.82,0.17,3.21,2.89,6.38,2.74,2.056704E9,8.692006E7,,28145118
SZ002307,002307,北新路桥,6.79,5.76,0.37,6.93,6.33,10.18,4.68,6.09882170044E9,3.2480773144E8,118.84,48513438
SH600692,600692,亚通股份,7.01,5.73,0.38,7.18,6.85,14.47,6.5,2.46586608864E9,7.5857875E7,37.67,10834942
SZ300032,300032,金龙机电,3.78,5.59,0.2,3.8,3.55,15.45,3.34,3.03598111824E9,1.0157603287E8,,27548014
SH603337,603337,杰克股份,31.66,5.53,1.66,33.0,29.73,44.24,26.82,9.683894856E9,7.6920486E7,23.96,2381503
SZ002425,002425,凯撒文化,4.99,5.5,0.26,5.2,4.74,10.02,4.23,4.06058471568E9,1.0293224766E8,14.86,20608133
SZ002643,002643,万润股份,9.22,5.49,0.48,9.24,8.74,14.56,6.66,8.3822082423E9,1.6784744528E8,23.0,18461705
SZ002622,002622,融钰集团,3.27,5.48,0.17,3.28,3.11,15.98,2.75,2.7468E9,1.9380413314E8,55.93,60368784
SH601100,601100,恒立液压,22.46,5.4,1.15,22.6,21.56,25.05,12.11,1.980972E10,1.23354285E8,28.97,5562186
SH601888,601888,中国国旅,61.99,5.37,3.16,62.6,59.25,76.03,31.16,1.2103395897256E11,8.02954072E8,38.43,13128220
SZ000806,000806,银河生物,3.62,5.23,0.18,3.77,3.46,11.1,3.3,3.98168057844E9,1.2621216498E8,,34840095
SZ002644,002644,佛慈制药,8.47,5.22,0.42,8.65,8.03,12.28,8.01,4.32526479E9,2.48521305E7,52.76,2991300
SZ002607,002607,亚夏汽车,7.38,5.13,0.36,7.72,6.93,15.09,3.81,6.0540793848E9,4.0259859794E8,88.26,54572338
SZ002716,002716,金贵银业,6.78,5.12,0.33,6.96,6.36,13.11,6.26,6.51204214176E9,4.7206476028E8,24.38,71249072
SZ300128,300128,锦富技术,3.7,5.11,0.18,3.85,3.51,9.82,3.1,4.0482270244E9,1.8031496695E8,88.42,48925647
SZ002676,002676,顺威股份,3.33,5.05,0.16,3.45,3.18,14.38,2.8,2.3976E9,7.591573222E7,,22924307
SZ002198,002198,嘉应制药,6.06,5.03,0.29,6.23,5.74,12.88,5.33,3.07550967888E9,4.812719468E7,,7988115
SH603127,603127,昭衍新药,51.78,4.97,2.45,51.78,49.32,63.84,31.59,5.95442033622E9,6.7323542E7,68.68,1320106
SZ002021,002021,中捷资源,2.96,4.96,0.14,2.98,2.8,6.75,2.32,2.0359325184E9,6.984287842E7,,24016618
SZ002585,002585,双星新材,6.79,4.95,0.32,6.85,6.47,8.25,4.95,7.85112819715E9,1.4569490777E8,56.25,21737212
SH600293,600293,三峡新材,4.89,4.94,0.23,4.91,4.61,11.59,4.36,5.68282570494E9,1.55396316E8,13.03,32436524
SH600568,600568,中珠医疗,2.79,4.89,0.13,2.82,2.66,7.87,2.54,5.56010640999E9,1.80442595E8,103.85,65420231
SZ000587,000587,金洲慈航,3.04,4.83,0.14,3.11,2.9,7.94,2.66,6.4561979632E9,2.1610318084E8,8.85,72177628
SH601088,601088,中国神华,18.89,4.83,0.87,19.01,18.3,28.52,16.7,3.7571493039495E11,7.10730103E8,8.6,37848178
SH603233,603233,大参林,44.15,4.79,2.02,45.08,42.4,77.25,37.84,1.76604415E10,8.3287653E7,34.33,1879503
SH603658,603658,安图生物,63.9,4.72,2.88,65.8,61.05,87.76,41.98,2.6838E10,1.37959107E8,53.49,2152674
SZ300549,300549,优德精密,14.02,4.71,0.63,14.48,13.31,31.99,12.74,1.8694268E9,1.879765402E7,30.34,1353386
SZ002178,002178,延华智能,4.49,4.66,0.2,4.7,4.29,15.67,4.1,3.19756697E9,1.3058122114E8,60.19,29014521
SH603826,603826,坤彩科技,13.02,4.66,0.58,13.2,12.45,16.28,9.5,6.09336E9,1.45653673E8,41.97,11260311
